Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
910194899,"Mar 22, 2017, 3:25:46 PM",Phone died halfway round!!,Run,Phone died and cut off the last bit of the run!!,2826,8.82,,false,,activities/910194899.gpx
910199740,"Mar 12, 2017, 10:50:32 AM",Run with Carro,Run,"",2321,5.02,,false,,activities/1009653846.tcx.gz
910199743,"Jan 30, 2017, 6:03:00 PM",Evening Run,Run,,1452,4.47,,false,,activities/1009653844.tcx.gz
910199778,"Mar 19, 2017, 9:26:47 AM",Morning Run,Run,,3807,10.49,,false,,activities/1009653851.tcx.gz
912555443,"Mar 24, 2017, 3:23:43 PM",Afternoon Run,Run,,1532,5.28,,false,,activities/912555443.gpx
918522378,"Mar 28, 2017, 5:30:26 PM",Night Run,Run,Treadmill warm up at gym,840,3.00,,false,,
934135770,"Apr 9, 2017, 7:36:01 AM",Morning Run,Run,,4308,13.65,235,false,,activities/1034274209.fit.gz
939302473,"Apr 12, 2017, 4:44:46 PM",Evening Activity,Workout,,1221,0,19,false,,activities/1039596218.fit.gz
942150994,"Apr 14, 2017, 5:23:07 PM",Evening Run,Run,,3427,11.54,137,false,,activities/1042535274.fit.gz
950348962,"Apr 20, 2017, 2:52:16 PM",Afternoon Run,Run,,1433,5.23,50,false,,activities/1050980387.fit.gz
954443466,"Apr 23, 2017, 10:23:35 AM",Lunch Activity,Workout,,1933,0,42,false,,activities/1055206340.fit.gz
958959410,"Apr 26, 2017, 3:18:03 PM",Afternoon Run,Run,,1358,5.00,31,false,,activities/1059831403.fit.gz
962735008,"Apr 29, 2017, 11:09:22 AM",Run with Dad :),Run,Running off last night's beers!,6272,17.33,240,false,,activities/1063685985.fit.gz
969330687,"May 3, 2017, 4:17:20 PM",Bike at the Gym,Workout,Bike at the Gym,2703,0,22,,,activities/1070493251.fit.gz
973142939,"May 6, 2017, 10:02:05 AM","Strömmingsloppet - official time 48:35, forgot to stop the watch! A tough 10k!",Run,"",2929,9.85,191,false,,activities/1074381409.fit.gz
981530464,"May 11, 2017, 4:16:33 PM",Evening Run,Run,"",1861,5.89,57,false,,activities/1083478644.fit.gz
983736649,"May 13, 2017, 8:42:57 AM",Short run with Carro,Run,"",1176,2.59,16,false,,activities/1086148827.fit.gz
983806433,"May 13, 2017, 9:29:14 AM",Lunch Run,Run,,1392,4.83,38,false,,activities/1086225226.fit.gz
990139424,"May 16, 2017, 5:57:54 PM",Evening Run,Run,,1608,5.80,11,false,,activities/1092730055.fit.gz
994411929,"May 18, 2017, 4:54:57 PM",Run on Högmarsö with Joel and Johanna,Run,"",2130,7.46,127,false,,activities/1096502913.fit.gz
998265767,"May 21, 2017, 9:00:33 AM",15k through Bromma and Ängby,Run,"",5072,15.66,265,false,,activities/1100443392.fit.gz
1004566594,"May 25, 2017, 7:55:56 AM",5k Morning Run in the Sun,Run,"",1331,5.01,27,false,,activities/1106921193.fit.gz
1006091533,"May 26, 2017, 6:26:12 AM",Löberöd running,Run,"",2410,7.76,128,false,,activities/1108487479.fit.gz
1014587687,"May 31, 2017, 4:14:47 PM",10k plus cool down,Run,"",3197,10.60,79,false,,activities/1117244129.fit.gz
1025480053,"Jun 7, 2017, 4:41:24 PM",3.5k treadmill warmup,Run,"",922,3.02,14,false,,activities/1128420794.fit.gz
1026507429,"Jun 8, 2017, 9:31:22 AM","Lunch Run with Joel, Johanna & William",Run,"",3330,10.04,178,false,,activities/1129456756.fit.gz
1029485175,"Jun 10, 2017, 9:36:26 AM",Run with Carro - her first 10k :) ,Run,"",4980,10.04,64,false,,activities/1132462022.fit.gz
1031260996,"Jun 11, 2017, 10:38:18 AM",Lunch Run,Run,"",2923,10.04,80,false,,activities/1134270130.fit.gz
1034739855,"Jun 13, 2017, 4:09:52 PM",Evening Run,Run,,1653,6.02,48,false,,activities/1137841679.fit.gz
1045260682,"Jun 20, 2017, 6:49:54 AM",Morning Run,Run,,1803,6.14,83,false,,activities/1148674310.fit.gz
1050123757,"Jun 23, 2017, 9:01:38 AM",First half marathon! Had to pick a boiling hot day!!,Run,"",7240,21.16,452,false,,activities/1153641661.fit.gz
1067409172,"Jul 4, 2017, 4:40:33 PM",Evening Run with Carro to get the bikes from the old apartment,Run,"",2386,5.29,24,false,,activities/1171254710.fit.gz
1068513899,"Jul 5, 2017, 9:18:07 AM",Lunch Run with Joel to Centigo,Run,"",1752,5.67,32,false,,activities/1172373866.fit.gz
1068514027,"Jul 5, 2017, 9:59:41 AM",...And back again,Run,"",888,2.80,56,false,,activities/1172373994.fit.gz
1115102819,"Aug 3, 2017, 10:07:25 AM",Lunch Run,Run,,1124,3.92,51,false,,activities/1219682132.fit.gz
1141889928,"Aug 19, 2017, 7:35:15 PM",Midnattsloppet!,Run,"",2998,9.97,176,false,,activities/1246947043.fit.gz
1156958954,"Aug 28, 2017, 6:16:02 PM",Evening run with Carro,Run,"",2705,6.15,53,false,,activities/1262248581.fit.gz
1183952783,"Sep 14, 2017, 5:01:53 PM",Evening Run with Carro,Run,"",2642,6.51,28,false,,activities/1289570980.fit.gz
1186228412,"Sep 16, 2017, 8:36:59 AM",Morning Ride,Ride,"",8110,50.39,218,false,,activities/1291876247.fit.gz
