Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
615812123,"28 May 2016, 13:40:40",Afternoon Ride,Ride,,5190,32.27,55,false,,activities/671373220.tcx.gz
615812193,"29 May 2016, 07:02:16",Morning Ride,Ride,,14626,100.93,98,false,,activities/671373248.tcx.gz
615812199,"5 Jun 2016, 07:02:46",Morning Ride,Ride,,15829,82.51,110,false,,activities/671373263.tcx.gz
615812206,"19 Jun 2016, 07:29:09",Morning Ride,Ride,,15650,84.66,140,false,,activities/671373290.tcx.gz
618243511,"22 May 2016, 08:53:37",Morning Ride,Ride,,16615,67.09,142,false,,activities/673903398.tcx.gz
618798137,"21 May 2016, 07:16:27",Morning Ride,Ride,,10785,71.49,93,false,,activities/674225768.tcx.gz
622261652,"22 Jun 2016, 17:14:19",Evening Ride,Ride,,4318,29.95,76,false,,activities/678146930.tcx.gz
622261675,"25 Jun 2016, 08:04:39",Morning Ride,Ride,,14022,69.20,92,false,,activities/678146946.tcx.gz
622261695,"26 Jun 2016, 07:03:25",Morning Ride,Ride,,15742,85.30,134,false,,activities/678146962.tcx.gz
629475406,"28 Jun 2016, 17:26:19",Evening Ride,Ride,,3623,26.09,36,false,,activities/688956917.tcx.gz
629475471,"3 Jul 2016, 07:39:04",Morning Ride,Ride,,18281,98.33,166,false,,activities/688956963.tcx.gz
637185833,"10 Jul 2016, 12:07:11",Afternoon Ride,Ride,,5249,35.39,20,false,,activities/702525575.tcx.gz
637185890,"10 Jul 2016, 06:34:27",Manchester to Blackpool 2016,Ride,"",16955,97.33,125,false,,activities/702525542.tcx.gz
644793604,"13 Jul 2016, 06:54:28",Morning Ride,Ride,,1717,9.32,15,false,,activities/711186891.tcx.gz
644793620,"13 Jul 2016, 17:44:14",Evening Ride,Ride,,1130,8.74,8,false,,activities/711186906.tcx.gz
644793685,"16 Jul 2016, 08:08:16",Morning Ride,Ride,,13435,71.80,183,false,,activities/711186934.tcx.gz
644793727,"17 Jul 2016, 07:23:31",Morning Ride,Ride,,17385,93.55,117,false,,activities/711186956.tcx.gz
647045120,"19 Jul 2016, 17:00:19",Evening Ride,Ride,,4822,31.08,67,false,,activities/713593945.tcx.gz
652709750,"24 Jul 2016, 06:30:38",Morning Ride,Ride,,744,5.77,2,false,,activities/719662183.tcx.gz
652709793,"24 Jul 2016, 13:26:14",Afternoon Ride,Ride,,1062,7.69,7,false,,activities/719662227.tcx.gz
652709843,"24 Jul 2016, 07:05:40",Preston Pedalfest,Ride,"",15653,101.16,240,false,,activities/719662222.tcx.gz
658655871,"30 Jul 2016, 08:10:45",Morning Ride,Ride,,12463,70.36,156,false,,activities/726030620.tcx.gz
658656392,"30 Jul 2016, 11:38:41",Lunch Ride,Ride,,3472,24.05,33,false,,activities/726031262.tcx.gz
662321417,"31 Jul 2016, 08:24:18",Samlesbury bottoms,Ride,"",211725,40.81,51,false,,activities/730441497.tcx.gz
663373659,"3 Aug 2016, 16:27:08",Afternoon Ride,Ride,,5788,37.29,75,false,,activities/731576353.tcx.gz
668036626,"4 Aug 2016, 16:45:17",Afternoon Ride,Ride,,4473,30.65,44,false,,activities/736635409.tcx.gz
668036735,"7 Aug 2016, 13:31:04",Afternoon Ride,Ride,,11581,65.28,108,false,,activities/736635477.tcx.gz
677342369,"15 Aug 2016, 19:03:41",Evening Ride,Ride,,3732,27.68,36,false,,activities/746749223.tcx.gz
678468803,"16 Aug 2016, 18:31:53",Evening Ride,Ride,,1162,8.04,20,false,,activities/747974246.tcx.gz
678468806,"16 Aug 2016, 17:29:31",Evening Ride,Ride,,3660,30.12,63,false,,activities/747974222.tcx.gz
678468836,"16 Aug 2016, 18:51:55",Evening Ride,Ride,,1717,11.72,22,false,,activities/747974278.tcx.gz
682509637,"20 Aug 2016, 06:09:41",Morning Ride,Ride,,4562,27.91,36,false,,activities/752346980.tcx.gz
682509685,"20 Aug 2016, 11:15:17",Lunch Ride,Ride,,2359,18.14,35,false,,activities/752347033.tcx.gz
682509728,"20 Aug 2016, 08:06:02",Morning Ride,Ride,,11343,61.08,68,false,,activities/752347018.tcx.gz
683389199,"30 May 2016, 12:40:12",Afternoon Run,Run,,2138,4.19,25,false,,activities/753301630.fit.gz
683389394,"21 Aug 2016, 07:29:58",Morning Run,Run,,1830,4.83,28,false,,activities/753301837.fit.gz
686258045,"23 Aug 2016, 13:00:22",Afternoon Ride,Ride,,13392,78.58,151,false,,activities/756378291.tcx.gz
688796944,"25 Aug 2016, 17:36:52",Evening Ride,Ride,,2128,16.12,16,false,,activities/759082534.tcx.gz
690659584,"27 Aug 2016, 06:29:31",Morning Ride,Ride,,21009,115.14,146,false,,activities/761092442.tcx.gz
704602968,"21 Aug 2016, 13:11:31",Afternoon Run,Run,,2,0.00,,false,,activities/776173603.fit.gz
704603302,"4 Sep 2016, 08:45:04",Lunch Run,Run,,3058,10.98,31,false,,activities/776173966.fit.gz
704606131,"7 Sep 2016, 06:35:55",Morning Run,Run,"",3195,8.05,43,false,,activities/776176980.fit.gz
705864338,"9 Sep 2016, 06:47:25",Morning Ride,Ride,Gentle meander to Margarites Village. ,17740,28.77,,false,,activities/705864338.gpx
